"","name","Condition","Percent","mean_value","sd_value","se_value"
"1","Homo","V1 45","0",0.10585528226748,0.0700508606564493,0.0175127151641123
"2","Homo","V1 45","10",0.147256752504858,0.0641792405766217,0.0160448101441554
"3","Homo","V1 45","20",0.148098528104104,0.0549032090276727,0.0137258022569182
"4","Homo","V1 45","40",0.150829253785572,0.0365676132614975,0.00914190331537437
"5","Homo","V1 45","60",0.151927753234836,0.0288688620404422,0.00721721551011056
"6","Homo","V1 45","100",0.153113169811595,0.0295131980188005,0.00737829950470012
"7","Homo","V1 90","0",0.0866821632455366,0.0834841247600691,0.0208710311900173
"8","Homo","V1 90","10",0.168335248451344,0.0511800081645611,0.0127950020411403
"9","Homo","V1 90","20",0.156284397161396,0.043219264349742,0.0108048160874355
"10","Homo","V1 90","40",0.152559817965281,0.0294708515779963,0.00736771289449907
"11","Homo","V1 90","60",0.15185186434621,0.0262782306013599,0.00656955765033998
"12","Homo","V1 90","100",0.168485111591815,0.0361624268906302,0.00904060672265754
"13","Homo","V1 135","0",0.056947747535651,0.0521139939735218,0.0130284984933805
"14","Homo","V1 135","10",0.13710225584219,0.0471960116478401,0.01179900291196
"15","Homo","V1 135","20",0.152376828214414,0.0436471412832575,0.0109117853208144
"16","Homo","V1 135","40",0.149955261223602,0.0348425623103731,0.00871064057759327
"17","Homo","V1 135","60",0.144357036685319,0.0292156534898806,0.00730391337247016
"18","Homo","V1 135","100",0.158341224791566,0.0316820856008653,0.00792052140021631
"19","Homo","PPC 45","0",0.0593801653141208,0.045924871999688,0.0118577509620999
"20","Homo","PPC 45","10",0.114749248439343,0.0339463737467144,0.00876491601234383
"21","Homo","PPC 45","20",0.137018123665877,0.0275194647176552,0.00710549523653473
"22","Homo","PPC 45","40",0.13783445369335,0.016240138689869,0.00419318577906409
"23","Homo","PPC 45","60",0.136679721979368,0.0153835631632916,0.00397201892911721
"24","Homo","PPC 45","100",0.13369980472957,0.0133879754860938,0.00345676040647162
"25","Homo","PPC 90","0",0.067529943409675,0.0531474655859231,0.0137226166071608
"26","Homo","PPC 90","10",0.128050008335116,0.0455193454215006,0.011753044449849
"27","Homo","PPC 90","20",0.142738827170158,0.0253040659954696,0.00653348174611914
"28","Homo","PPC 90","40",0.145952297230946,0.026167870184972,0.00675651502880762
"29","Homo","PPC 90","60",0.138913640508935,0.0220798414297104,0.00570099054294458
"30","Homo","PPC 90","100",0.138866647466294,0.0192354447257693,0.00496657047198651
"31","Homo","PPC 135","0",0.0197190815604497,0.0285525502327067,0.00737223676953491
"32","Homo","PPC 135","10",0.122670508289943,0.0599798850201202,0.0154867397193574
"33","Homo","PPC 135","20",0.124258762927745,0.0437660776528214,0.0113003526585465
"34","Homo","PPC 135","40",0.127725719956529,0.0227400403881999,0.00587145318103881
"35","Homo","PPC 135","60",0.131605919778686,0.0212847429313112,0.00549569699341829
"36","Homo","PPC 135","100",0.13319564717048,0.0214733790301683,0.00554440262470944
"37","Hetero","V1 45","0",0.105056192169762,0.0816913634454082,0.020422840861352
"38","Hetero","V1 45","10",0.124722029422348,0.0702981532970756,0.0175745383242689
"39","Hetero","V1 45","20",0.126469320725655,0.0533143090960516,0.0133285772740129
"40","Hetero","V1 45","40",0.132317907262171,0.0493899989101202,0.01234749972753
"41","Hetero","V1 45","60",0.135752984415054,0.0435739873542502,0.0108934968385625
"42","Hetero","V1 45","100",0.142738131630209,0.0358020721450214,0.00895051803625535
"43","Hetero","V1 90","0",0.0616122559450483,0.0686829107454147,0.0171707276863537
"44","Hetero","V1 90","10",0.121611393037842,0.0483167214961709,0.0120791803740427
"45","Hetero","V1 90","20",0.133896179039023,0.0310761373134713,0.00776903432836783
"46","Hetero","V1 90","40",0.132961646012242,0.0286891063001728,0.0071722765750432
"47","Hetero","V1 90","60",0.13140932824468,0.0269829989589196,0.0067457497397299
"48","Hetero","V1 90","100",0.139925639145343,0.0250633957526658,0.00626584893816645
"49","Hetero","V1 135","0",0.0422740913620289,0.0378361023817019,0.00945902559542548
"50","Hetero","V1 135","10",0.0864480868364577,0.0315349753628755,0.00788374384071888
"51","Hetero","V1 135","20",0.098156952318016,0.0242316278549449,0.00605790696373623
"52","Hetero","V1 135","40",0.107913543205532,0.025112746883355,0.00627818672083875
"53","Hetero","V1 135","60",0.113182029855931,0.0203779262377373,0.00509448155943432
"54","Hetero","V1 135","100",0.12139064906608,0.0244702576342518,0.00611756440856295
"55","Hetero","PPC 45","0",0.0587338736726159,0.0382150372151806,0.00986708018060609
"56","Hetero","PPC 45","10",0.108008433586836,0.0287185039278777,0.0074150858293775
"57","Hetero","PPC 45","20",0.129503025808324,0.0291792836481318,0.00753405864156511
"58","Hetero","PPC 45","40",0.135558174343374,0.0216080174949772,0.00557916612684035
"59","Hetero","PPC 45","60",0.133097415113627,0.0227579239578451,0.00587607069886591
"60","Hetero","PPC 45","100",0.133814571256062,0.0210023404441077,0.00542278098476051
"61","Hetero","PPC 90","0",0.0577949204911748,0.0429554038298854,0.0110910375775174
"62","Hetero","PPC 90","10",0.110184082191101,0.0412159316951845,0.0106419078035915
"63","Hetero","PPC 90","20",0.116893040908097,0.0341908634740462,0.00882804298849549
"64","Hetero","PPC 90","40",0.130455283422073,0.019351071429468,0.00499642515850666
"65","Hetero","PPC 90","60",0.131831763372632,0.020490127993204,0.0052905282986225
"66","Hetero","PPC 90","100",0.128948418474149,0.0191179928178895,0.00493624451977328
"67","Hetero","PPC 135","0",0.0145208468087583,0.0183767238965646,0.00474484970728309
"68","Hetero","PPC 135","10",0.0891908715283317,0.0423489058519577,0.0109344404729825
"69","Hetero","PPC 135","20",0.108054642017787,0.0318508814343936,0.00822386222382889
"70","Hetero","PPC 135","40",0.114792956523429,0.0232035376337621,0.00599112765524385
"71","Hetero","PPC 135","60",0.117380209265757,0.0244206370605074,0.00630538137594138
"72","Hetero","PPC 135","100",0.11877230481523,0.0214056419540724,0.00552691298686674
