"","TunedTuned","TunedNonTuned","NonTunedTuned","NonTunedNonTuned"
"1",1,17,14,125
"2",1,9,7,51
"3",1,9,5,70
"4",13,24,20,141
"5",11,42,36,320
"6",9,38,40,326
"7",10,43,26,218
"8",0,14,6,48
"9",5,20,9,78
"10",0,7,6,46
