"","TunedTuned","TunedNonTuned","NonTunedTuned","NonTunedNonTuned"
"1",1,10,11,96
"2",1,8,8,59
"3",4,7,14,47
"4",3,34,19,141
"5",7,50,33,403
"6",4,49,19,300
"7",4,51,21,216
"8",3,5,5,33
"9",1,26,9,89
"10",2,4,2,35
