"","Condition","Percent","Homo","Hetero"
"2","V1_45","0",0.0246654247384638,0.0590416619565981
"3","V1_45","0",0.130808982884994,0.145256598341252
"4","V1_45","0",0.209149899951038,0.150614816706831
"5","V1_45","0",0.0616076810302506,0.0531811847312165
"6","V1_45","0",0.11621263000592,0.204809431230015
"7","V1_45","0",0.141450152825243,0.096374842757654
"8","V1_45","0",0.12038354050647,0.0795060770753107
"9","V1_45","0",0.0717740305685127,0.136130429758749
"10","V1_45","0",0.20217182930341,0.109853655470199
"11","V1_45","10",0.0863446923535393,0.104957645979486
"12","V1_45","10",0.185518312146055,0.201493791265626
"13","V1_45","10",0.195528333980642,0.177751571240426
"14","V1_45","10",0.159920260737866,0.176110929784174
"15","V1_45","10",0.163872727559106,0.213626880066088
"16","V1_45","10",0.1180393204486,0.120098632496631
"17","V1_45","10",0.152888361417833,0.116932738996817
"18","V1_45","10",0.188529991126065,0.181541075951852
"19","V1_45","10",0.214828456053806,0.226558833407004
"20","V1_45","20",0.121908256145644,0.13425392817972
"21","V1_45","20",0.164337593231791,0.186735793404436
"22","V1_45","20",0.190414088864593,0.167507556946872
"23","V1_45","20",0.182504690488532,0.201563294025166
"24","V1_45","20",0.161991307199583,0.168309791648049
"25","V1_45","20",0.142881935848314,0.146162246927107
"26","V1_45","20",0.136692813165761,0.131910350734664
"27","V1_45","20",0.18206298497367,0.221220327033689
"28","V1_45","20",0.188106365216199,0.223131973299657
"29","V1_45","40",0.141466163049865,0.143678336446703
"30","V1_45","40",0.161386904580163,0.169631936140394
"31","V1_45","40",0.168432868536443,0.160858645484579
"32","V1_45","40",0.172077643781738,0.183963336857945
"33","V1_45","40",0.150223673228664,0.155427027977035
"34","V1_45","40",0.147219405732235,0.164250740688621
"35","V1_45","40",0.189826151910141,0.159690097459272
"36","V1_45","40",0.219763952572333,0.169514162555789
"37","V1_45","40",0.18753699162568,0.222618261823414
"38","V1_45","60",0.132709567667895,0.153311722812642
"39","V1_45","60",0.156399848098401,0.163542157639989
"40","V1_45","60",0.160338767370821,0.151458966567815
"41","V1_45","60",0.169346295651173,0.180405716952438
"42","V1_45","60",0.150935089618438,0.151814470620958
"43","V1_45","60",0.141406184649806,0.159341690870366
"44","V1_45","60",0.197681006456613,0.180207971347241
"45","V1_45","60",0.19863522359171,0.156091659058507
"46","V1_45","60",0.198789477693079,0.202499292115127
"47","V1_45","100",0.1292386248652,0.149385220360926
"48","V1_45","100",0.157312752250681,0.167110072378474
"49","V1_45","100",0.150378780401388,0.137424869720361
"50","V1_45","100",0.16292695296642,0.162243207277795
"51","V1_45","100",0.145996856518098,0.157175700767835
"52","V1_45","100",0.150600239472089,0.155022696412937
"53","V1_45","100",0.202532501924658,0.17260938211189
"54","V1_45","100",0.180952435028499,0.141944509872809
"55","V1_45","100",0.204691418945976,0.208927419939335
"56","V1_90","0",0.0391926073315235,0.0159704806390983
"57","V1_90","0",0.250306293632972,0.259890612703291
"58","V1_90","0",0.0351835238803331,0.037396098229336
"59","V1_90","0",0.274650240414061,0.126472494439101
"60","V1_90","0",0.109072495333426,0.103686546199884
"61","V1_90","0",0.0580974475634049,0.0528513590513409
"62","V1_90","0",0,0
"63","V1_90","0",0.0715348944436185,0.132967786463021
"64","V1_90","0",0.185633363592505,0.125699620643869
"65","V1_90","10",0.139165050746438,0.134462280346038
"66","V1_90","10",0.220628868495715,0.191797903985257
"67","V1_90","10",0.116650098867955,0.114429660898262
"68","V1_90","10",0.229714756575361,0.191251753318758
"69","V1_90","10",0.215832258761121,0.154207211686251
"70","V1_90","10",0.18856636169149,0.137624077110412
"71","V1_90","10",0.176725414932825,0.142820510406072
"72","V1_90","10",0.140277155898407,0.133664968254058
"73","V1_90","10",0.181533611698339,0.143061766474959
"74","V1_90","20",0.149698185561438,0.113420281145438
"75","V1_90","20",0.205514222974653,0.176955935282409
"76","V1_90","20",0.120114898519828,0.143183950889185
"77","V1_90","20",0.199531438389309,0.1507211077989
"78","V1_90","20",0.200718261335216,0.147798910215153
"79","V1_90","20",0.169656199426118,0.155699629219076
"80","V1_90","20",0.244926510724157,0.118031109437884
"81","V1_90","20",0.14694007921601,0.145188253736127
"82","V1_90","20",0.172433844819237,0.148577760939566
"83","V1_90","40",0.15289764630537,0.131084077221072
"84","V1_90","40",0.191614596379106,0.173131476263307
"85","V1_90","40",0.146883023481927,0.144101051485403
"86","V1_90","40",0.181817793224168,0.148233538295882
"87","V1_90","40",0.173365677949963,0.140208066460153
"88","V1_90","40",0.152350234971653,0.119227210364951
"89","V1_90","40",0.263926990478027,0.172366164924623
"90","V1_90","40",0.164497878676998,0.141467326501087
"91","V1_90","40",0.172786728296496,0.145853906566927
"92","V1_90","60",0.168927682441283,0.154392501100416
"93","V1_90","60",0.190194174418199,0.171098400874875
"94","V1_90","60",0.138275601899237,0.129415395884874
"95","V1_90","60",0.160006013366649,0.150606257637077
"96","V1_90","60",0.172674880662622,0.141192109909987
"97","V1_90","60",0.155803775787486,0.137794719119993
"98","V1_90","60",0.286725871446442,0.168199951381479
"99","V1_90","60",0.157773865630665,0.132753390996972
"100","V1_90","60",0.166495719389746,0.139996412746242
"101","V1_90","100",0.166307071463126,0.161697807886781
"102","V1_90","100",0.176536872878624,0.167199939317911
"103","V1_90","100",0.126997407273614,0.130099983385027
"104","V1_90","100",0.163317329105123,0.156422293916325
"105","V1_90","100",0.157378343648146,0.140914117822808
"106","V1_90","100",0.143689544269352,0.140413439575529
"107","V1_90","100",0.267123621310259,0.16826406903588
"108","V1_90","100",0.163564178812665,0.131559094787755
"109","V1_90","100",0.165425247234882,0.135271690644121
"110","V1_135","0",0.0378348306372864,0.0227955113021453
"111","V1_135","0",0.181493113961588,0.112131689518966
"112","V1_135","0",0.0327898514801642,0.0299736721468974
"113","V1_135","0",0.135642003180275,0.0877769275376639
