"","Condition","Percent","Homo","Hetero"
"2","V1_45","10",0.102985022313692,0.115816120419044
"3","V1_45","10",0.1830954642131,0.206966142074771
"4","V1_45","10",0.203884243415837,0.189694906931888
"5","V1_45","10",0.158097758345097,0.173227821601073
"6","V1_45","10",0.173088978100244,0.21998037938788
"7","V1_45","10",0.14085365702433,0.130817609869058
"8","V1_45","10",0.148125716331988,0.118669306781704
"9","V1_45","10",0.197217599702887,0.19052978815795
"10","V1_45","10",0.216386500396771,0.221721647987753
"11","V1_45","20",0.136379259946309,0.128080968863306
"12","V1_45","20",0.16706170811019,0.16945032410152
"13","V1_45","20",0.197245386087328,0.153133509554338
"14","V1_45","20",0.184978206218945,0.175975979347244
"15","V1_45","20",0.16998190778504,0.158955320112934
"16","V1_45","20",0.164322493234037,0.13706844646931
"17","V1_45","20",0.139603881249538,0.126779387182265
"18","V1_45","20",0.184606348113664,0.206231465886734
"19","V1_45","20",0.184499122239949,0.19512857336502
"20","V1_45","40",0.148924701215772,0.127251030676263
"21","V1_45","40",0.163512063570136,0.153618580071273
"22","V1_45","40",0.175926886387612,0.143716087546528
"23","V1_45","40",0.17214617292119,0.153818119030072
"24","V1_45","40",0.155535604731323,0.14408679274132
"25","V1_45","40",0.163606845615248,0.148376687456189
"26","V1_45","40",0.180303283506642,0.150508609351418
"27","V1_45","40",0.216894576527596,0.158739127331007
"28","V1_45","40",0.183334799824804,0.191585339937905
"29","V1_45","60",0.136810373856904,0.159288443446962
"30","V1_45","60",0.158423278836392,0.167579015347202
"31","V1_45","60",0.166384761200921,0.157978534983426
"32","V1_45","60",0.168933664926669,0.176827758552236
"33","V1_45","60",0.155940824982463,0.158956038830695
"34","V1_45","60",0.156908543412768,0.168879887243013
"35","V1_45","60",0.191702803422685,0.177880590412935
"36","V1_45","60",0.195730428139707,0.164885872278706
"37","V1_45","60",0.195167271454116,0.197258443602612
"38","V1_45","100",0.118211118043101,0.140636107673253
"39","V1_45","100",0.142360346731289,0.151739772303574
"40","V1_45","100",0.137674437350255,0.125308206637683
"41","V1_45","100",0.143298521809652,0.141344329705399
"42","V1_45","100",0.134717041539394,0.147606340748267
"43","V1_45","100",0.150675902207822,0.147685489277644
"44","V1_45","100",0.175229678592486,0.150918140038084
"45","V1_45","100",0.160716526328108,0.132368819749964
"46","V1_45","100",0.179269703130915,0.183740387126708
"47","V1_90","10",0.13169339819144,0.148929516318568
"48","V1_90","10",0.232303524579947,0.20055872795933
"49","V1_90","10",0.13244877315436,0.111861247758571
"50","V1_90","10",0.23595743918644,0.201999250222291
"51","V1_90","10",0.215643423247222,0.158378840531664
"52","V1_90","10",0.196731233344006,0.156215174886086
"53","V1_90","10",0.193398448374319,0.151643337607076
"54","V1_90","10",0.153105342530635,0.13980180508672
"55","V1_90","10",0.181557169731487,0.156705209439026
"56","V1_90","20",0.145385752488553,0.130025532403052
"57","V1_90","20",0.222049170867441,0.189827146631312
"58","V1_90","20",0.129883760911248,0.14060817833841
"59","V1_90","20",0.210217853096488,0.156956606834828
"60","V1_90","20",0.204325138045974,0.151736023283452
"61","V1_90","20",0.187409345750176,0.166169057405336
"62","V1_90","20",0.259018998258542,0.124419051365682
"63","V1_90","20",0.160591555695453,0.157584892221008
"64","V1_90","20",0.178545540404971,0.163036556177836
"65","V1_90","40",0.156964855553579,0.147369582364076
"66","V1_90","40",0.208244630648098,0.186683749455467
"67","V1_90","40",0.153569729655677,0.138386297888364
"68","V1_90","40",0.188528390647944,0.153174654902726
"69","V1_90","40",0.176341700688866,0.142754740696221
"70","V1_90","40",0.165496883047276,0.129938741275242
"71","V1_90","40",0.2754308902959,0.177855386051674
"72","V1_90","40",0.175063212819832,0.147906479256566
"73","V1_90","40",0.177122794502863,0.156242388636369
"74","V1_90","60",0.152864345782597,0.169504926028483
"75","V1_90","60",0.177847300285743,0.188242998990547
"76","V1_90","60",0.129083618916664,0.130360924563665
"77","V1_90","60",0.145837883542361,0.154311756648093
"78","V1_90","60",0.15578595229156,0.143460178466891
"79","V1_90","60",0.153601401220224,0.13832673179423
"80","V1_90","60",0.247214793729404,0.177562014458893
"81","V1_90","60",0.14464048308003,0.140282430418856
"82","V1_90","60",0.150299184993926,0.146544565033954
"83","V1_90","100",0.151347878321836,0.174246969672941
"84","V1_90","100",0.165026694744811,0.181835062848213
"85","V1_90","100",0.11678176224722,0.132164874671489
"86","V1_90","100",0.148553614304357,0.157523814317671
"87","V1_90","100",0.141122779489035,0.141693882479345
"88","V1_90","100",0.142304256101489,0.147082158515535
"89","V1_90","100",0.230123807760809,0.176987515542873
"90","V1_90","100",0.150454007311672,0.136236974872949
"91","V1_90","100",0.149561755187181,0.140479034179213
"92","V1_135","10",0.138716949476336,0.125688393334204
"93","V1_135","10",0.216106185123071,0.134787495093285
"94","V1_135","10",0.154452067923159,0.0856428554982126
"95","V1_135","10",0.273900772588749,0.13161156664106
"96","V1_135","10",0.204911499465313,0.117963034795478
"97","V1_135","10",0.16718595256758,0.105268134577817
"98","V1_135","10",0.101022243354628,0.0470731789723236
"99","V1_135","10",0.200656665553644,0.116375334797957
"100","V1_135","10",0.19370078680076,0.104839630531267
"101","V1_135","20",0.116798572259996,0.141383986111003
"102","V1_135","20",0.225890686404522,0.147747578522496
"103","V1_135","20",0.158615210815383,0.108571792384566
"104","V1_135","20",0.234850618917504,0.116521935794223
"105","V1_135","20",0.188443844797791,0.133855247693648
"106","V1_135","20",0.215668684682506,0.152606823139915
"107","V1_135","20",0.155123235270986,0.0883188745965689
"108","V1_135","20",0.166967045398628,0.11428607453871
"109","V1_135","20",0.199287156980373,0.11593663020892
"110","V1_135","40",0.149538360679547,0.147868111357003
"111","V1_135","40",0.207110427620325,0.143587673661091
"112","V1_135","40",0.165080330011031,0.1358695853368
"113","V1_135","40",0.21003537327343,0.105146841248027
"114","V1_135","40",0.169510439716581,0.121595194244689
"115","V1_135","40",0.280611111467526,0.128851955844918
"116","V1_135","40",0.177410856850986,0.0963736324655489
"117","V1_135","40",0.157621927274677,0.111799123469735
"118","V1_135","40",0.178996559404543,0.11812178608388
"119","V1_135","60",0.144060210515614,0.136684128545528
"120","V1_135","60",0.186755906613107,0.142578990410725
"121","V1_135","60",0.140719094110932,0.133861626294249
"122","V1_135","60",0.165413080833447,0.104561700665444
"123","V1_135","60",0.153944280753781,0.118877835143893
"124","V1_135","60",0.236107440928548,0.147576373268918
"125","V1_135","60",0.1770124611227,0.109954763882888
"126","V1_135","60",0.132861993052445,0.112336597304244
"127","V1_135","60",0.143253549395644,0.124275260534701
"128","V1_135","100",0.122986918736814,0.134716712775128
"129","V1_135","100",0.184076068414158,0.151704967173922
"130","V1_135","100",0.126721633775974,0.139488237200267
"131","V1_135","100",0.152900541805391,0.106064530793378
"132","V1_135","100",0.148661586011243,0.120379321748051
"133","V1_135","100",0.228075185721267,0.14040559784131
"134","V1_135","100",0.186323356286987,0.118932542015076
"135","V1_135","100",0.147262196034728,0.123254825731881
"136","V1_135","100",0.144764294229375,0.128010586284232
"137","PPC_45","10",0.172288058070735,0.16928299001384
"138","PPC_45","10",0.118125443059871,0.105295000223827
"139","PPC_45","10",0.165603150235629,0.139071506643587
"140","PPC_45","10",0.192154395403729,0.149236067115398
"141","PPC_45","10",0.124461050841153,0.146555483483946
"142","PPC_45","10",0.139409236149099,0.159737492280429
"143","PPC_45","20",0.163802990230387,0.172394648412541
"144","PPC_45","20",0.145821515142627,0.16483315540235
"145","PPC_45","20",0.152728685722891,0.141282544543448
"146","PPC_45","20",0.17840820574885,0.157452732957996
"147","PPC_45","20",0.121684688173935,0.149980294208811
"148","PPC_45","20",0.157811856131729,0.202679174881045
"149","PPC_45","40",0.157984711606906,0.16410100782926
"150","PPC_45","40",0.136891066826415,0.159199828698296
"151","PPC_45","40",0.16454602213454,0.143034112265662
"152","PPC_45","40",0.160521931653246,0.147802751863958
"153","PPC_45","40",0.141322613957325,0.1467398860421
"154","PPC_45","40",0.166266732609302,0.185740630303219
"155","PPC_45","60",0.167752447709152,0.165873559020627
"156","PPC_45","60",0.125849637294834,0.177872545630296
"157","PPC_45","60",0.156725373773446,0.140810092082731
"158","PPC_45","60",0.143780740053268,0.146624548327133
"159","PPC_45","60",0.146523163948771,0.146413637061868
"160","PPC_45","60",0.160419587458269,0.159460065368465
"161","PPC_45","100",0.161381008199862,0.16796014016697
"162","PPC_45","100",0.144982631119493,0.177148884274205
"163","PPC_45","100",0.149195403235551,0.140385376175205
"164","PPC_45","100",0.138728222875673,0.153814072771591
"165","PPC_45","100",0.14145325530622,0.14406801914347
"166","PPC_45","100",0.144345837623777,0.161471365695896
"167","PPC_90","10",0.103455934844666,0.0976623224138023
"168","PPC_90","10",0.151224425987544,0.138455986005433
"169","PPC_90","10",0.159894802937414,0.0662926626656908
"170","PPC_90","10",0.145868457492429,0.0775979897586697
"171","PPC_90","10",0.227735458186149,0.140214820906424
"172","PPC_90","10",0.211981666425831,0.143538997831789
"173","PPC_90","20",0.122604832665983,0.0833109009022765
"174","PPC_90","20",0.112534678278224,0.112039065953241
"175","PPC_90","20",0.135917291329655,0.0354327204157623
"176","PPC_90","20",0.132834717016442,0.0864577423590647
"177","PPC_90","20",0.16990784825446,0.0967647908698415
"178","PPC_90","20",0.181662938912991,0.161332121841038
"179","PPC_90","40",0.0974637432512838,0.0652606730555107
"180","PPC_90","40",0.0985002970660944,0.0917441018509804
"181","PPC_90","40",0.114447505220357,0.0425499316148537
"182","PPC_90","40",0.107745897067555,0.0777750227853489
"183","PPC_90","40",0.118695750715374,0.0759089029371162
"184","PPC_90","40",0.163206198865441,0.14259640889417
"185","PPC_90","60",0.0918166456840869,0.0650907726583768
"186","PPC_90","60",0.107370297198262,0.0831920296090971
"187","PPC_90","60",0.12129534666926,0.0473353625562258
"188","PPC_90","60",0.106571755154568,0.0696449122336373
"189","PPC_90","60",0.132083156099726,0.0695260366422395
"190","PPC_90","60",0.154340742650148,0.150307454207737
"191","PPC_90","100",0.0843368281548424,0.059544150388662
"192","PPC_90","100",0.0910743240204435,0.0742840475916217
"193","PPC_90","100",0.10478141786956,0.0454527547793977
"194","PPC_90","100",0.103067501655249,0.0741519573318481
"195","PPC_90","100",0.127634691787415,0.0657485742344428
"196","PPC_90","100",0.133453983331868,0.148395429368868
"197","PPC_135","10",0.0998715891350044,0.0729803737182865
"198","PPC_135","10",0.0773736960966383,0.0373478895326148
"199","PPC_135","10",0.139759832350914,0.13717262304638
"200","PPC_135","10",0.081309564155827,0.10746097190883
"201","PPC_135","10",0.195479969039058,0.12589798099125
"202","PPC_135","10",0.241742293017074,0.136415862167764
"203","PPC_135","20",0.104437726729034,0.0826752680134414
"204","PPC_135","20",0.0402237119622083,0.0559696392961608
"205","PPC_135","20",0.136430374802317,0.0824548554565858
"206","PPC_135","20",0.0966585049564686,0.0785681885793836
"207","PPC_135","20",0.146760766659885,0.0957872134214722
"208","PPC_135","20",0.227179833776338,0.115803535150349
"209","PPC_135","40",0.0902522782693939,0.0584874897173712
"210","PPC_135","40",0.0390983854320815,0.0584954208411284
"211","PPC_135","40",0.121586892407434,0.0655058550715127
"212","PPC_135","40",0.107367427208097,0.0714335155773232
"213","PPC_135","40",0.152657098964897,0.073389420992765
