"","TunedTuned","TunedNonTuned","NonTunedTuned","NonTunedNonTuned"
"1",5,7,5,57
"2",16,20,20,186
"3",6,17,16,119
"4",2,7,10,81
"5",3,27,23,306
"6",5,22,17,224
"7",12,30,35,340
