"","TunedTuned","TunedNonTuned","NonTunedTuned","NonTunedNonTuned"
"1",0,13,8,144
"2",1,9,15,44
"3",2,9,9,104
"4",1,10,11,76
"5",4,38,41,493
"6",1,19,14,216
"7",9,29,23,290
