"","TunedTuned","TunedNonTuned","NonTunedTuned","NonTunedNonTuned"
"1",1,9,9,118
"2",1,7,15,52
"3",3,11,13,113
"4",1,13,7,81
"5",3,47,15,401
"6",1,10,10,271
"7",4,27,28,270
