"","TunedTuned","TunedNonTuned","NonTunedTuned","NonTunedNonTuned"
"1",7,28,19,139
"2",2,8,9,68
"3",15,21,21,53
"4",11,26,15,110
"5",7,51,42,292
"6",7,38,41,281
"7",6,16,24,167
"8",4,9,6,36
"9",3,8,9,80
"10",0,13,4,42
